code,QA,fill
F351000104,3.023618058614473,#7ACEB9
F352000101,2.8336506069287806,#7ACEB9
F352000201,2.791274558800361,#7ACEB9
F355040000,2.153067973728424,#7ACEB9
F357000101,1.9693279446279746,#7ACEB9
F358000402,2.852234821759264,#7ACEB9
F410000601,2.711584948836351,#7ACEB9
F411000101,2.952484853422395,#7ACEB9
F413000101,4.959673655713662,#449C93
F415000101,3.5650386290433005,#449C93
F416000201,2.7738052874061654,#7ACEB9
F422000201,2.4862954417063854,#7ACEB9
F428000101,2.087252817332858,#7ACEB9
F429000101,1.713790058863158,#7ACEB9
F438000101,2.183877011035958,#7ACEB9
F438000201,2.6928665821251814,#7ACEB9
F439000101,2.0437961788686136,#7ACEB9
F445000101,3.333837331858041,#7ACEB9
F447000302,2.434695737025416,#7ACEB9
F448060000,0.23413298967844237,#BCE6DB
F450000301,1.8318477491649667,#7ACEB9
F453000101,2.631413517692487,#7ACEB9
F456042001,1.2380429602656036,#BCE6DB
F458000100,3.339137022310132,#7ACEB9
F461000102,3.565816555355591,#449C93
F462000101,3.1035019216985873,#7ACEB9
F464000201,2.681389748005754,#7ACEB9
F466000101,3.2756165479180637,#7ACEB9
F467000101,1.7966636085583716,#7ACEB9
F473060000,3.4158566540787847,#449C93
F474000102,3.6088349384800154,#449C93
F482000000,3.6738099240738307,#449C93
F483000202,4.140120627069322,#449C93
F487000400,3.8041091964435823,#449C93
F490000100,2.4301215639125155,#7ACEB9
F569000200,1.3173355084063396,#BCE6DB
F608000100,1.5047540901174208,#BCE6DB
F619000101,0.20183956264081315,#BCE6DB
F622000402,1.7708226331204444,#7ACEB9
F624000200,2.283129455074655,#7ACEB9
F625000101,0.9136852145602322,#BCE6DB
F641000100,4.192412238716288,#449C93
F643000101,1.3386678066306306,#BCE6DB
F652000101,1.1693303253911425,#BCE6DB
F654000301,3.457663154192761,#449C93
F655000101,1.7699366555202716,#7ACEB9
F658000100,1.6765565747959663,#BCE6DB
F658000202,1.7068791770358143,#7ACEB9
F664000104,1.3840506039289875,#BCE6DB
F664000404,1.395888210380105,#BCE6DB
F704000000,2.12051638813789,#7ACEB9
G017042010,3.584988586854588,#449C93
G111041010,4.633737052765948,#449C93
G206021010,2.7835961701173533,#7ACEB9
G510061010,4.127393875961943,#449C93
G600061010,2.5543265527977015,#7ACEB9
G700021010,4.3263405740656244,#449C93
H002001001,4.411016123396442,#449C93
H010001001,4.293953668808756,#449C93
H010002001,3.6785186451727987,#449C93
H020302002,3.8647168767292497,#449C93
H021001001,3.402354854274834,#449C93
H023000000,5.817943846898746,#2A6863
H030101001,3.760328092930218,#449C93
H032101001,3.6803250898736684,#449C93
H032102001,3.5216664808759774,#449C93
H032103001,3.3724981486597576,#7ACEB9
H032104001,3.126805199649559,#7ACEB9
H040002001,3.1657495829525217,#7ACEB9
H041301001,1.4624720901697217,#BCE6DB
H050301001,1.7773133778145904,#7ACEB9
H070201001,1.7454791116320294,#7ACEB9
H080001000,2.834168744634508,#7ACEB9
H081001002,2.786758804857396,#7ACEB9
H105102001,3.0015720397433943,#7ACEB9
H112201001,1.9368784733856397,#7ACEB9
H112202001,2.523613840513213,#7ACEB9
H120101001,2.3391507609783107,#7ACEB9
H123101001,2.495510963755809,#7ACEB9
H130201001,2.0827652471296454,#7ACEB9
H136201001,1.483230067014966,#BCE6DB
H150101001,2.46531603131479,#7ACEB9
H150351001,2.1652270982613158,#7ACEB9
H151321001,2.874457948463262,#7ACEB9
H160301001,2.559765916256047,#7ACEB9
H168000303,1.9977296728891432,#7ACEB9
H170001001,2.0295557338711943,#7ACEB9
H171301001,1.491670909494525,#BCE6DB
H200102001,0.7808906060194923,#BCE6DB
H202101001,1.0402642575931065,#BCE6DB
H205101001,1.9128784690882998,#7ACEB9
H205102002,2.5003816696395575,#7ACEB9
H206201001,5.222272932110152,#2A6863
H207311001,4.74651803201992,#449C93
H208000101,2.8504744315904467,#7ACEB9
H208000104,2.719585277703091,#7ACEB9
H208102001,2.853640277596836,#7ACEB9
H208311001,3.916256114562846,#449C93
H212202001,2.5742174891813008,#7ACEB9
H214203001,2.1603923340979714,#7ACEB9
H214203002,2.2135401771423084,#7ACEB9
H217231001,3.8311919862846664,#449C93
H217232001,3.840332726810126,#449C93
H218201001,2.890284271030332,#7ACEB9
H222101001,2.550664201470757,#7ACEB9
H224000101,4.169125709839373,#449C93
H224000201,4.1632380930760275,#449C93
H226000201,3.8996672345538244,#449C93
H232201001,5.816427904753191,#2A6863
H232202001,5.854883493997871,#2A6863
H233202001,5.977600625378556,#2A6863
H233203001,5.774267365052444,#2A6863
H234202002,5.752632444504393,#2A6863
H234203001,4.317843077498469,#449C93
H240201001,6.53025022574475,#2A6863
H241201001,6.308118927321083,#2A6863
H242231001,5.275402598221044,#2A6863
H243401001,5.096023224729761,#449C93
H244233001,4.7138868011222,#449C93
H244234001,4.744215726773487,#449C93
H245202001,5.120496123945029,#2A6863
H246202001,4.460963871521793,#449C93
H247301001,0.5009064372332312,#BCE6DB
H248201001,3.521743034191913,#449C93
H248202001,4.426361824244405,#449C93
H300000201,2.3609187572977595,#7ACEB9
H305000101,0.74895124873838,#BCE6DB
H305000201,1.79670556912737,#7ACEB9
H305000301,2.1906545393032877,#7ACEB9
H305000401,1.1660428498205533,#BCE6DB
H308000201,2.3610033652732705,#7ACEB9
H311041010,1.3415253068683453,#BCE6DB
H311301001,3.4751312798318366,#449C93
H312042010,1.4368155776083578,#BCE6DB
H317061010,2.2513017968215734,#7ACEB9
H318041010,1.0414404528065941,#BCE6DB
H320000101,2.2837807569202067,#7ACEB9
H322011003,2.0741090448119026,#7ACEB9
H325041010,1.6841561154264881,#BCE6DB
H332201001,2.614617844992728,#7ACEB9
H352201011,2.903506787650108,#7ACEB9
H402203001,0.8745038312505331,#BCE6DB
H403021010,0.2264182324720562,#BCE6DB
H403301001,1.1841333435194152,#BCE6DB
H403301101,-0.19182191948725358,#EFE0B0
H413041010,1.2189763085244418,#BCE6DB
H416021010,-0.4085031827346648,#EFE0B0
H418041010,-0.8405270895914411,#EFE0B0
H418041101,-0.881955189311463,#EFE0B0
H421041010,-0.20157067253622746,#EFE0B0
H423041010,0.05370800283352602,#BCE6DB
H425042010,1.7847704477453241,#7ACEB9
H432021010,1.165827576069969,#BCE6DB
H433042010,-1.1533675667249217,#EFE0B0
H434043010,-2.0095536268878464,#D4B86A
H437042010,-0.8299113081242989,#EFE0B0
H438021010,1.2527417615888374,#BCE6DB
H501102001,2.8671938563684494,#7ACEB9
H502301001,3.1710360193542293,#7ACEB9
H503101001,2.7364246904019836,#7ACEB9
H503102001,2.372125159530584,#7ACEB9
H504063010,1.9271091969791634,#7ACEB9
H504201001,2.9243573482190004,#7ACEB9
H506062010,1.9436367865699034,#7ACEB9
H506201001,1.9100925813499507,#7ACEB9
H507104001,2.521981940183889,#7ACEB9
H507105001,2.6217901201123732,#7ACEB9
H508302001,2.0228400074946684,#7ACEB9
H508305001,1.718764292716365,#7ACEB9
H508307001,2.037473544105577,#7ACEB9
H509101002,1.805289473594773,#7ACEB9
H510203001,1.1839114780006557,#BCE6DB
H511231001,1.5463819627695146,#BCE6DB
H512234001,1.2547699678311752,#BCE6DB
H512235002,1.3296174265630931,#BCE6DB
H513061010,3.7184225931767108,#449C93
H514261001,1.093265785792098,#BCE6DB
H514262001,1.178130588947872,#BCE6DB
H517201001,0.8595052620381256,#BCE6DB
H517311001,1.7933600306478872,#7ACEB9
H520101003,1.490993136219322,#BCE6DB
H520421001,2.822453517078344,#7ACEB9
H522431001,1.605527459877802,#BCE6DB
H530202001,0.2887445805255119,#BCE6DB
H552201001,3.522495385996764,#449C93
H602021010,-0.7600211487191804,#EFE0B0
H602101001,1.7728802749179242,#7ACEB9
H602102001,1.5152193703070256,#BCE6DB
H602321001,1.4512880217662731,#BCE6DB
H603321001,2.301026337147701,#7ACEB9
H605301001,1.5832085045340716,#BCE6DB
H605641101,-0.5623162801246678,#EFE0B0
H605641201,-0.4450629352941891,#EFE0B0
H610201001,1.0797792901946472,#BCE6DB
H611301001,1.707778731087134,#7ACEB9
H612041010,-0.1725096152115762,#EFE0B0
H612043010,-0.045877238586284806,#EFE0B0
H612201001,1.3499882645810948,#BCE6DB
H616201001,1.4016722215883266,#BCE6DB
H620101001,1.1688149246890593,#BCE6DB
H622101001,1.4064738831448065,#BCE6DB
H623021010,0.7503792542333627,#BCE6DB
H623302001,2.491514118521441,#7ACEB9
H626061010,1.1072008192103442,#BCE6DB
H630382001,4.206142785404992,#449C93
H630384001,4.0308505674300035,#449C93
H631302001,4.384704585760609,#449C93
H631303002,3.3218194033477495,#7ACEB9
H632102001,1.9450604567358105,#7ACEB9
H640201001,2.74061180445664,#7ACEB9
H640202001,4.467076066685893,#449C93
H640203001,4.637864529467101,#449C93
H640204001,4.092697427875478,#449C93
H641201001,4.836863950578261,#449C93
H641202001,2.861213298197746,#7ACEB9
H642000000,4.779499869624341,#449C93
H642301001,2.9673955541618535,#7ACEB9
H643201001,3.1783987007102183,#7ACEB9
H702101001,3.065240544472846,#7ACEB9
H703301001,2.4027941116963434,#7ACEB9
H704101001,2.5931559258361077,#7ACEB9
H706101001,3.066004539767836,#7ACEB9
H710202001,2.4250823816267966,#7ACEB9
H714201001,2.8536613595757836,#7ACEB9
H716201001,3.665310787458421,#449C93
H720101001,3.4359648186375304,#449C93
H732201001,5.773960825333982,#2A6863
H740101001,3.941192184098172,#449C93
H740382001,5.611840835651932,#2A6863
H741321001,6.398279024638284,#2A6863
H742373502,4.869791348426682,#449C93
H751301001,4.845017334379399,#449C93
H751361001,4.114627661133687,#449C93
H760201001,4.595596858964718,#449C93
H770201001,2.050428107683657,#7ACEB9
H771301001,0.8904180342590686,#BCE6DB
H773301001,2.6947536602947118,#7ACEB9
H774201001,2.5283136354213207,#7ACEB9
H774202001,3.083986953818588,#7ACEB9
I039000100,0.2851198757112824,#BCE6DB
I102101001,-2.5069633054995215,#D4B86A
I103101001,-1.0587605159714666,#EFE0B0
I110301001,-0.19398892829216016,#EFE0B0
I111101000,-0.07659854300471629,#EFE0B0
I120301001,-0.7837402333692489,#EFE0B0
I200101001,0.5578465197124877,#BCE6DB
I202101001,0.8920239628448033,#BCE6DB
I205103001,0.37284617041383744,#BCE6DB
I205103002,0.4085137389412405,#BCE6DB
I216201001,-1.3011016062936325,#EFE0B0
I220101001,-0.1824365602263327,#EFE0B0
I220382002,-0.312862077089921,#EFE0B0
I221101001,-0.19697926610784827,#EFE0B0
I221103001,0.7211578035265094,#BCE6DB
I223000101,0.3711399705815054,#BCE6DB
I259100100,0.6670940436524482,#BCE6DB
I310301001,0.7539914871930107,#BCE6DB
I335201001,1.232496767585556,#BCE6DB
I342201001,1.3349691076472965,#BCE6DB
I345231001,1.1223928654876705,#BCE6DB
I346201001,1.4624418909513124,#BCE6DB
I346202001,1.4641917514252558,#BCE6DB
I346301001,1.4118022685057021,#BCE6DB
I350101001,0.6646920983983353,#BCE6DB
I352102001,0.5352999639334222,#BCE6DB
I353101001,0.6185258883635782,#BCE6DB
I361201001,1.0730355973698864,#BCE6DB
I361206001,1.9426153750480695,#7ACEB9
I371201001,1.11205267383931,#BCE6DB
I402201001,0.19243179660624415,#BCE6DB
I403201001,-0.10679513200192228,#EFE0B0
I502102001,1.8580002917694334,#7ACEB9
I505301001,0.8073874454840719,#BCE6DB
I510101001,1.3714581554614158,#BCE6DB
I512102001,1.528446335971903,#BCE6DB
I518000000,2.2526562372408554,#7ACEB9
I522101001,1.1279627770258576,#BCE6DB
I523101001,1.2040365064467484,#BCE6DB
I532151001,0.1083208915568532,#BCE6DB
I535201001,0.24090302583149992,#BCE6DB
I540151000,-0.14503313285731506,#EFE0B0
I620102001,2.5226440517804702,#7ACEB9
I630202000,1.149569211844349,#BCE6DB
I632201000,1.127552520677067,#BCE6DB
I692301001,1.315325114352103,#BCE6DB
I711101001,2.5154811072843497,#7ACEB9
I713101001,2.64095100167521,#7ACEB9
I722202001,1.873172741381321,#7ACEB9
I791361001,4.1822426213955,#449C93
I803202001,1.0627391461064009,#BCE6DB
I903101001,-0.5003374708852053,#EFE0B0
I912201002,0.7457385409013377,#BCE6DB
I922102001,0.3763996894849565,#BCE6DB
I923301001,1.966265413921033,#7ACEB9
I923301100,0.5034940704579609,#BCE6DB
I923301301,0.35495649457755374,#BCE6DB
J001401001,0.4242669967821723,#BCE6DB
J012151001,-0.00445663282607005,#EFE0B0
J014401001,0.7076670737051572,#BCE6DB
J061161001,-0.9619522486325799,#EFE0B0
J062161001,-0.43402438607937305,#EFE0B0
J062661001,-0.2918015571893303,#EFE0B0
J110301001,0.4329802362730549,#BCE6DB
J111401001,-0.3229334565774334,#EFE0B0
J120541001,1.2554709164545887,#BCE6DB
J131301001,0.2804924717381594,#BCE6DB
J132401001,-0.4560892408874655,#EFE0B0
J151301001,-2.5271449592961117,#D4B86A
J152301001,-2.0613431850933557,#D4B86A
J152302001,-1.661170623913018,#EFE0B0
J161401001,-1.4748780666333545,#EFE0B0
J171171001,-1.3837696293325152,#EFE0B0
J172171001,-1.2815849730438793,#EFE0B0
J172172001,-1.0745555703824927,#EFE0B0
J181301001,-0.40570938995703704,#EFE0B0
J202301001,0.38208524316405157,#BCE6DB
J203401001,1.5507855729804363,#BCE6DB
J223301001,0.03586126504611729,#BCE6DB
J223302001,0.13769136144286148,#BCE6DB
J261401002,-0.5208202914832263,#EFE0B0
J272301001,-0.29967868949981774,#EFE0B0
J332302002,0.02156293291249165,#BCE6DB
J341302001,-0.42172367353295914,#EFE0B0
J341303001,-0.27989089127336736,#EFE0B0
J351401001,0.32017734162609823,#BCE6DB
J360181001,-0.634764076627746,#EFE0B0
J363181001,-1.3168624723837739,#EFE0B0
J363181003,-1.3394102127660124,#EFE0B0
J371301001,-1.0791260960812057,#EFE0B0
J373301001,-1.7558982249179926,#D4B86A
J381181001,-1.6114975200317758,#EFE0B0
J382181001,-1.5824954116344976,#EFE0B0
J382182001,-1.546226957838965,#EFE0B0
J421191001,-0.8475557791007923,#EFE0B0
J422401001,-0.9118928419401726,#EFE0B0
J423191100,-1.080042185092253,#EFE0B0
J431301001,-0.4937823055059972,#EFE0B0
J461401001,-0.6468101809205805,#EFE0B0
J462301001,-0.8965107741094439,#EFE0B0
J462302001,-0.7456881657234302,#EFE0B0
J471201002,-1.6171256289257023,#EFE0B0
J473401001,-1.2828529401119007,#EFE0B0
J474201001,-1.879275767162192,#D4B86A
J474201501,-1.821942341261537,#D4B86A
J480301001,-1.404805715360477,#EFE0B0
J481301001,-1.0092139215229068,#EFE0B0
J490201001,-1.4103217219881945,#EFE0B0
J510221001,-1.5376722960131166,#EFE0B0
J521211001,-1.6569930258343781,#EFE0B0
J522211001,-1.672124453250802,#EFE0B0
J522401002,-1.6844971258148185,#EFE0B0
J541211001,-1.7088873700009721,#D4B86A
J543211001,-1.759832831586166,#D4B86A
J552401002,-0.8853303514155488,#EFE0B0
J561301002,-0.6133216869530462,#EFE0B0
J621301001,0.17442778226343628,#BCE6DB
J701061001,0.4656952983631304,#BCE6DB
J701062001,0.13790232693593785,#BCE6DB
J701063001,-0.16014557528591125,#EFE0B0
J702402001,0.935639863467908,#BCE6DB
J704301001,0.06473620575153297,#BCE6DB
J706061001,0.5932158455562678,#BCE6DB
J706062001,0.28384764359010395,#BCE6DB
J708311001,0.6875189814086282,#BCE6DB
J709063002,0.6033210634491334,#BCE6DB
J710301001,0.806350947307366,#BCE6DB
J711401001,0.87265396199471,#BCE6DB
J721401001,0.2535075370487346,#BCE6DB
J731301001,-1.0387053423350914,#EFE0B0
J734401001,-0.4612846132261549,#EFE0B0
J735301001,-0.8148018922552595,#EFE0B0
